ID,Name,DOB,Email,Phone,Category,Priority
C-1001,Jessica Mason,1989-04-30,charles99@barber.org,+919439642317,FINANCE,LOW
C-1002,April Mclaughlin,1997-10-02,lindsay69@camacho-barrett.com,+914051523717,TAX,MEDIUM
C-1003,Scott Mann,2001-12-28,maxhorton@wilson-brown.biz,+911025039195,SALES,HIGH
C-1004,Christian Kelley,1980-04-14,richardsonjessica@hudson-stanton.com,+911386679956,SALES,LOW
C-1005,Shawn Gonzalez,1981-08-01,justinsmith@hotmail.com,+914079406713,LEGAL,MEDIUM
C-1006,Allison Baird,1975-05-14,jonathanmcdaniel@hotmail.com,+919442877433,FINANCE,HIGH
C-1007,Sarah Larson,1988-10-16,bryanleon@hotmail.com,+911881650338,HR,MEDIUM
C-1008,Claire Reed,1994-09-01,ryanmorales@hotmail.com,+919621535337,SALES,LOW
C-1009,Kayla Jones,1975-07-03,btownsend@watson.info,+917774235742,LEGAL,HIGH
C-1010,Michael Young,1995-11-21,jose01@hudson.com,+911441890723,SUPPORT,LOW
C-1011,Paul Martin,1991-01-19,williamsherman@yahoo.com,+918683125471,IT,MEDIUM
C-1012,Matthew Williams,2003-07-15,holdenashlee@hotmail.com,+914745538482,MARKETING,LOW
C-1013,Megan Walsh,2003-01-03,zhowell@turner.com,+912666389174,SUPPORT,MEDIUM
C-1014,Cameron Carney,1984-11-13,youngchad@williams.biz,+917484887223,SALES,HIGH
C-1015,Brian Thomas,1988-09-01,ian44@gmail.com,+918798173320,TAX,MEDIUM
C-1016,Patrick Rivera,1983-04-06,johnathanalvarez@hotmail.com,+911646538779,FINANCE,LOW
C-1017,John Mills,1970-03-16,rdavis@adkins.com,+914800333365,IT,HIGH
C-1018,Dr. John Ellis,1971-10-27,mirandaluis@hotmail.com,+917541416476,FINANCE,LOW
C-1019,Kim Harris,1979-03-02,conwayjustin@hotmail.com,+914205464671,HR,LOW
C-1020,Shelby Jones,1984-07-29,lozanoryan@yahoo.com,+916952846421,MARKETING,LOW
C-1021,Andrea Wheeler,1994-07-23,jeremy88@yahoo.com,+919895673476,LEGAL,HIGH
C-1022,Anthony Parker,1972-02-01,hansentiffany@hogan-jenkins.com,+917507717377,FINANCE,HIGH
C-1023,Janet Miller,1981-10-30,gomezandrew@richards.org,+913414737279,SUPPORT,LOW
C-1024,Alyssa Martin,1973-09-27,hansenjohn@gmail.com,+914654327908,FINANCE,MEDIUM
C-1025,Veronica Proctor,1976-01-05,danielcharles@hotmail.com,+913581357182,LEGAL,MEDIUM
C-1026,William Myers,2004-10-25,woliver@serrano-jacobs.info,+911596692418,HR,HIGH
C-1027,Chelsea Cochran,1990-08-25,pamelawhite@gmail.com,+913467774165,LEGAL,MEDIUM
C-1028,Larry Smith,2000-01-18,michelle79@hess.com,+917576092813,MARKETING,HIGH
C-1029,Meghan Aguilar,2002-04-07,ofarrell@gmail.com,+915867739989,TAX,HIGH
C-1030,Bailey Hill,1995-01-07,steven11@contreras-reyes.com,+911055949157,SUPPORT,LOW
C-1031,Jose Hill,1991-11-26,amynguyen@gmail.com,+917637194764,FINANCE,LOW
C-1032,Shane Greer,1991-09-12,friedmanleah@hotmail.com,+913133831305,TAX,HIGH
C-1033,Mitchell Patton,1987-03-10,breed@cox-collins.com,+914867288380,SALES,LOW
C-1034,Nathaniel Kim,1983-10-12,mcguirechristopher@hotmail.com,+917546836500,TAX,MEDIUM
C-1035,Anne Huffman,1991-04-10,xcoleman@hotmail.com,+918882489604,SUPPORT,LOW
C-1036,Katherine Baker,1973-09-20,aaron82@hotmail.com,+916934106284,LEGAL,HIGH
C-1037,Thomas Patterson,1994-06-18,kenneth06@hotmail.com,+919592050430,LEGAL,LOW
C-1038,Barbara Boyd,1971-02-02,murphymichael@cook.org,+912892874067,SUPPORT,HIGH
C-1039,Rebecca Clark,1973-04-17,johnny62@hotmail.com,+913212108086,LEGAL,MEDIUM
C-1040,Renee Martin,2001-08-03,jasonrussell@hotmail.com,+911921065514,MARKETING,LOW
C-1041,Tonya Merritt,1998-01-21,pughkimberly@long.com,+912284286906,SUPPORT,MEDIUM
C-1042,Kelly Brown,1972-04-02,gabriel81@yahoo.com,+913470026879,SUPPORT,HIGH
C-1043,Victor Orozco,1996-05-10,robertsimmons@wright-ward.biz,+919075911271,HR,HIGH
C-1044,Lisa Jones PhD,1977-11-22,townsendjacqueline@brown.net,+913818506087,TAX,LOW
C-1045,Mrs. Stacy Joseph,1981-01-18,kelly46@yahoo.com,+918742917670,LEGAL,HIGH
C-1046,Russell Mueller,1978-10-04,rebekah03@yahoo.com,+912028031492,HR,LOW
C-1047,Benjamin Oliver,1974-10-28,brian81@cox.biz,+911709321132,LEGAL,HIGH
C-1048,Bruce Becker,1997-07-16,andrew63@le.biz,+912966215465,IT,MEDIUM
C-1049,Shane Graham,1965-11-25,brian21@gmail.com,+915512872828,SALES,MEDIUM
C-1050,Krystal Morris,1983-07-20,taylor25@yahoo.com,+914578218204,IT,MEDIUM
C-1051,Todd Chang,1996-10-23,valerie45@yahoo.com,+919723395709,MARKETING,HIGH
C-1052,Angela Hoover,1985-03-25,elizabeth66@marshall-clark.com,+913394124216,HR,LOW
C-1053,Mike Waters,1989-08-23,ayersbrooke@yahoo.com,+915906412272,LEGAL,LOW
C-1054,Rachel Holmes,1981-04-17,cynthiaarnold@richardson.net,+911829680475,IT,MEDIUM
C-1055,Nicole Boyd,1964-12-27,crawfordmaxwell@yahoo.com,+918901819929,SUPPORT,MEDIUM
C-1056,John Sanchez,1992-07-18,sabrina61@nolan.com,+919099664309,HR,HIGH
C-1057,Andrew Christensen,1999-05-16,davidsonalexandra@rivera-freeman.com,+919696019569,HR,HIGH
C-1058,Anthony Solomon,2002-06-14,lsullivan@hotmail.com,+918404811597,SUPPORT,LOW
C-1059,Allison Taylor,1965-01-23,heather59@hotmail.com,+918006551204,FINANCE,MEDIUM
C-1060,Richard Bennett,1971-07-07,jbradshaw@yahoo.com,+917223205148,SALES,HIGH
C-1061,Carrie Silva,1997-02-09,benjamin58@martin-jordan.com,+915667729178,HR,HIGH
C-1062,Victoria Reynolds,1994-03-09,nrobinson@gregory.com,+919409986723,IT,MEDIUM
C-1063,Ryan Martinez,1964-12-16,mmarsh@williams.com,+912556485280,HR,HIGH
C-1064,Dustin Terry,1981-12-19,jackieross@hotmail.com,+912634384084,TAX,HIGH
