case_id,applicant_name,dob,email,phone,category,priority
C-1001,Asha Verma,1990-03-14,asha.verma@example.com,+919876543210,TAX,HIGH
C-1002,John DOE,1985-12-02,john.doe@example.com,+9198765432100,LICENSE,MEDIUM
C-1003,Li Wei,1979-05-22,,+12025550123,PERMIT,LOW
C-1004,Maria-Santos,2007-01-01,mariasantos@example.com,+919000000001,TAX,
C-1005,Raj Kumar,1888-11-12,raj.kumar@example.com,+911234567890,LICENSE,HIGH
C-1006,Emily Stone,2025-10-10,emily.stone@example.com,+19876543210,TAX,MEDIUM
C-1007,Chen Li,1993-04-05,chen.li@example.com,+861234567890,PERMIT,LOW
C-1008,Robert Jr,1980-12-31,robertjr@example.com,+14151234567,TAX,HIGH
C-1009,A. Sharma,1950-02-12,asharma@example.com,+919999999999,LICENSE,LOW
C-1010,Sunita K,1978-06-30,sunitak@example.com,+919999999999,PERMIT,
C-1011,Mohit Verma,1991-04-18,mohit.verma@example.com,+911234568979,TAX,HIGH
C-1012,Lara D,1999-02-28,lara.d@example.com,+447700900000,INVALID,LOW
C-1013,Kyle Adams,2020-11-05,kyle.adams@example.com,+919876543000,PERMIT,MEDIUM
C-1014,André Luis,1977-07-15,andre.luis@example.com,+5511999990000,TAX,LOW
C-1015,NoName,1973-10-14,noname@example.com,+14085550111,LICENSE,HIGH
C-1016,Riya Jain,2003-05-09,riya.jain@example.com,+919887766554,TAX,MEDIUM
C-1017,Patrick O'Conner,1992-08-25,patrick.oconner@example.com,+13125550155,PERMIT,LOW
C-1018,Fatima Noor,1975-04-09,fatima.noor@example.com,+971500000001,LICENSE,HIGH
C-1019,Mark Lee,2010-12-01,marklee@example.com,+919012345678,TAX,LOW
C-1020,Olga Petrova,1988-05-14,olgapetrova@example.com,+919999999999,PERMIT,MEDIUM
C-1021,Jack D,1940-03-10,jack.d@example.com,+19175550123,WRONG,LOW
C-1022,Sara White,1995-11-22,sara.white@example.com,+912345678901,TAX,HIGH
C-1023,Yu Yan,2002-04-15,yuyan@example.com,+865512345678,PERMIT,
C-1024,Noor Ali,1981-10-10,noor.ali@example.com,+923001234567,TAX,INVALID
C-1025,Chris Paul,1972-07-07,chris.paul@example.com,+917000000000,LICENSE,MEDIUM
C-1026,Emma Brown,1999-01-15,emma.brown@example.com,+44712345678,PERMIT,LOW
C-1027,Sanjay M,1984-08-12,sanjay.m@example.com,+919123456789,TAX,
C-1028,Kavita,2023-02-28,kavita@example.com,+911234567890,LICENSE,HIGH
C-1029,Roger Tan,1993-09-10,roger.tan@example.com,+1234567890,PERMIT,LOW
C-1030,Paul A,1955-04-30,paul.a@example.com,+16175550155,TAX,MEDIUM
C-1031,Alicia Gomez,1991-12-12,alicia.gomez@example.com,+521234567890,INVALID,LOW
C-1032,Lee Parker,2000-09-19,lee.parker@example.com,+198765432100,TAX,HIGH
C-1033,Harish,2015-04-12,harish@example.com,+917800000000,LICENSE,LOW
C-1034,Tina L,1988-01-21,tina.l@example.com,+15005550006,PERMIT,MEDIUM
C-1035,George P,2001-02-28,georgep@example.com,+17185550100,TAX,HIGH
C-1036,Zara Khan,1969-07-12,zara.khan@example.com,+972500000002,LICENSE,LOW
C-1037,Victor Hugo,1994-05-31,victor.hugo@example.com,+442034567890,PERMIT,HIGH
C-1038,Lena Morris,1983-11-05,lena.morris@example.com,+14085550129,TAX,LOW
C-1039,Kiran J,2010-04-15,kiran.j@example.com,+911234561212,LICENSE,MEDIUM
C-1040,Yael Ben,1998-03-31,yael.ben@example.com,+972500000002,PERMIT,LOW
C-1041,Prakash Rao,1972-02-29,prakash.rao@example.com,+919876543211,TAX,HIGH
C-1042,Alicia R,1986-11-20,alicia.r@example.com,+447000000001,LICENSE,MEDIUM
C-1043,Tom N,1999-09-09,tom.n@example.com,+16035550100,INVALID,LOW
C-1044,Sam W,1900-01-01,sam.w@example.com,+14155550111,PERMIT,LOW
C-1045,Jayden Cole,2026-07-07,jayden.cole@example.com,+18185550122,TAX,HIGH
C-1046,Jyoti Singh,1977-12-12,jyoti.singh@example.com,+911234567000,LICENSE,LOW
C-1047,Max P,1985-03-13,max.p@example.com,+919999999999,PERMIT,HIGH
C-1048,Oliver Twist,1973-10-14,oliver.twist@example.com,+19175550199,TAX,LOW
C-1049,Irene Yu,1973-10-14,irene.yu@example.com,+919999999999,LICENSE,MEDIUM
C-1050,Rosa Diaz,2008-05-18,rosa.diaz@example.com,+15555550188,INVALID,HIGH
